OXPHOS_GENE_LIST
NDUFA1
NDUFA2
NDUFA3
NDUFA4
NDUFA5
NDUFA6
NDUFA7
NDUFA8
NDUFA9
NDUFA10
NDUFA11
NDUFB1
NDUFB2
NDUFB3
NDUFB4
NDUFB5
NDUFB6
NDUFB7
NDUFB8
NDUFB9
NDUFB10
NDUFB11
NDUFS1
NDUFS2
NDUFS3
NDUFS4
NDUFS5
NDUFS6
NDUFS7
NDUFS8
NDUFV1
NDUFV2
NDUFV3
SDHA
SDHB
SDHC
SDHD
UQCRC1
UQCRC2
UQCR10
UQCR11
UQCRB
UQCRQ
CYC1
CYCS
COX4I1
COX4I2
COX5A
COX5B
COX6A1
COX6A2
COX6B1
COX6B2
COX6C
COX7A1
COX7A2
COX7A2L
COX7B
COX7C
COX8A
ATP5F1A
ATP5F1B
ATP5F1C
ATP5F1D
ATP5F1E
ATP5MC1
ATP5MC2
ATP5MC3
ATP5ME
ATP5MF
ATP5MG
ATP5PB
ATP5PD
ATP5PF
